thread index,duration in microseconds,visited nodes
2,813,2606
2,12656,18824
2,18888,24901
2,26867,34233
2,41856,40328
2,41113,44433
2,29029,31611
2,98,230
2,103288,95909
2,38,64
2,21,48
2,46,95
2,14,20
2,5133,7410
2,32435,14366
2,80,134
2,55,125
2,95553,79085
2,59189,67614
2,668,1615
2,14335,19187
2,34,66
2,10283,14598
2,26,33
2,18273,24750
2,21929,25338
2,257,687
2,19,34
2,42699,46355
2,81,142
2,1,1
2,15135,20768
2,114,206
2,26,54
2,33,89
2,29260,35378
2,2613,3746
2,189,533
2,27392,37010
2,129,268
2,66,137
2,162,360
2,46160,48167
2,21919,26188
2,849,2449
2,163,428
2,56,104
2,125,299
2,66423,76787
2,44949,52931
2,45622,43707
2,57,68
2,77472,79068
2,9650,13108
2,20800,23657
2,5926,5636
2,13914,12055
2,19,25
2,356,926
2,68,188
2,11,28
2,306,1217
2,20089,23421
2,2943,4804
2,1229,4735
2,1,1
2,0,1
2,64636,62770
2,122035,49154
2,106,195
2,25,51
2,118230,46896
2,137817,102155
2,5239,7371
2,30,78
2,572,1763
2,10391,14496
2,65,140
2,99,214
2,256,765
2,5696,9567
2,98,294
2,9405,14003
2,99,239
2,6407,10125
2,349,776
2,114064,61998
2,95069,39728
2,0,1
2,33,50
2,273671,100985
2,31,36
2,138675,110722
2,7797,10500
2,712,1924
2,201,584
2,11324,15706
2,25774,32766
2,17,24
2,9141,14121
2,160,465
2,31177,30170
2,33275,18517
2,72,114
2,3930,1713
2,302,808
2,75429,34100
2,290,671
2,30812,15656
2,301734,111241
2,130,241
2,41,84
2,66,152
2,29,98
2,554,1994
2,16761,22568
2,21,29
2,69146,74477
2,83,160
2,3610,5790
2,34613,42157
2,93073,66623
2,20002,11262
2,45,73
2,30,65
2,61649,43867
2,19,27
2,372,1111
2,12,27
2,10934,15108
2,200,482
2,1636,4847
2,50,143
2,540,2103
2,56063,60143
2,21516,29761
2,88060,90553
2,42,64
2,174,350
2,44783,47164
2,22,46
2,48738,54690
2,18477,23462
2,60,122
2,44229,48010
2,953,2242
2,25,53
2,42,125
2,12169,16156
2,18928,22878
2,1085,2894
2,24474,29148
2,68,107
2,45,84
2,152,332
2,294,906
2,44,97
2,241,812
2,20,64
2,29,77
2,100,266
2,22,43
2,23453,30771
2,40,48
2,6588,9528
2,194,445
2,92,216
2,1,1
2,526,1791
2,0,1
2,758,2715
2,1664,2499
2,79,214
2,23,50
2,31624,37485
2,229,447
2,5076,7209
2,21911,26574
2,77,119
2,1110,3215
2,16,27
2,51972,50794
2,34055,38922
2,41666,42666
2,60,87
2,120,148
2,77,107
2,138889,95027
2,21,27
2,239,600
2,84,180
2,68623,76805
2,291,779
2,20887,27251
2,537,1400
2,34,72
2,103498,81994
2,77467,72569
2,47149,47295
2,49157,46400
2,27086,29395
2,10,17
2,9,11
2,33430,37887
2,808,2401
2,60666,60507
2,18027,22622
2,76,169
2,121283,117903
2,655,2108
2,366,1158
2,8385,12648
2,3241,5098
2,248,633
2,7952,12487
2,91853,72018
2,16080,19961
2,47569,46119
2,275,564
2,11662,15843
2,7611,9865
2,10621,13315
2,151,334
2,59,135
2,66,162
2,212,577
2,64506,72160
2,92101,93562
2,9664,14771
2,57,99
2,60003,65062
2,21251,23772
2,60,96
2,41403,47601
2,19424,23464
2,265,606
2,7057,10802
2,38671,44850
2,62499,60077
2,18081,21669
2,79,156
2,151,382
2,12013,17074
2,17930,23389
2,53035,52966
2,40,69
2,20450,24222
2,957,2274
2,9157,12722
2,93823,89585
2,8435,12240
2,10595,14141
2,52563,53638
2,178,333
2,277,728
2,3802,5786
2,59,194
2,16523,21232
2,1265,2925
2,0,1
2,11,28
2,51847,65342
2,21012,25543
2,81,128
2,61,152
2,84,185
2,21174,24474
2,4913,8090
2,27,50
2,125,387
2,45,104
2,41929,45917
2,8520,13064
2,86,332
2,10400,17457
2,54642,80999
2,1147,3301
2,69553,82402
2,83,155
2,36507,44891
2,38,50
2,7214,11175
2,51,94
2,8091,12435
2,26778,33594
2,6,12
2,527,1255
2,18936,26149
2,7507,9947
2,543,1831
2,21,49
2,87,270
2,72,177
2,18008,24868
2,117,236
2,26492,34389
2,36566,41901
2,15,20
2,0,1
2,30,48
2,10341,13564
2,5057,8246
2,41,57
2,0,1
2,34,64
2,85130,91444
2,84,153
2,15,24
2,60319,70577
2,68,118
2,0,1
2,4844,7916
2,27347,36983
2,19,30
2,25,45
2,197,384
2,17719,25924
2,45068,55744
2,9153,14758
2,23,35
2,62,152
2,40018,46733
2,32626,47477
2,1703,3424
2,0,1
2,74,206
2,28851,41834
2,10018,16844
2,26040,48168
3,79148,37277
3,342,390
3,21518,24717
3,56407,46899
3,177966,111529
3,81,135
3,38,67
3,9058,11711
3,12879,15220
3,804,2655
3,27413,27845
3,25174,28279
3,33,47
3,171,372
3,139,447
3,6934,9001
3,51,100
3,52371,46097
3,61450,54504
3,320,892
3,109,400
3,52,124
3,17259,18481
3,569,1034
3,23383,29565
3,59,106
3,212,682
3,16970,20681
3,55,81
3,46,88
3,13162,17634
3,18902,22561
3,14859,19749
3,65950,65079
3,47,66
3,325,867
3,11450,14000
3,38663,41276
3,101,154
3,60,122
3,160,360
3,18,39
3,18029,20671
3,3482,5648
3,83552,79203
3,11679,14127
3,0,1
3,31527,35690
3,58272,48192
3,89,167
3,24508,25393
3,195,325
3,72368,62281
3,34555,35513
3,1119,2869
3,88,232
3,37,98
3,57,180
3,32,97
3,32375,33722
3,153267,90346
3,829,2232
3,52,120
3,66,181
3,23,52
3,302,913
3,55,110
3,17821,23408
3,343,791
3,11,18
3,860,2681
3,26,64
